,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
1679,0.38918511029701636,Clio Hatch Campus 1.0 16v 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/renault/clio-hatch-campus-1-0-16v-4p/11-12/1187089,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2011.0,2012.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,renault,17/06/2022,4747,Renault,48,Clio Campus Hi-Flex 1.0 16V 3p,4643
1741,0.4230045821551647,Palio Celebration 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-celebration-1-0-4p/08-08/1188575,Eduardo Bortolato,Campo Grande - MS,2008.0,2008.0,,Campo Grande , MS,,fiat,17/06/2022,1226,Fiat,21,Palio Celebration 1.0 Fire Flex 8V 4p,3966
1742,0.38760920590797565,207 Quiksilver 1.4 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/207-quiksilver-1-4-4p/09-10/1187566,K20 Motors,"Rua Piriá, 1208 - Guanandi - Campo Grande / MS",2009.0,2010.0, MS,"Rua Piriá, 1208 ", Guanandi , Campo Grande ,peugeot,17/06/2022,4399,Peugeot,44,207 QUIKSILVER 1.4 Flex 8V 3p,5159
1870,0.09591628920281497,Fusca 1300 L,Branca,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/77-77/1114665,Tomitão Carros e Negócios,"Av. Ceará, 2678 - Vila Rica - Campo Grande / MS",1977.0,1977.0, MS,"Av. Ceará, 2678 ", Vila Rica , Campo Grande ,vw-volkswagen,17/06/2022,5666,VW - VolksWagen,59,Fusca,2380
1924,0.2183347062343323,Fit LX 1.4,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/honda/fit-lx-1-4/05-06/1192561,Rogério Cavalcante de Almeida ,Campo Grande - MS,2005.0,2006.0,,Campo Grande , MS,,honda,17/06/2022,2629,Honda,25,Fit LX 1.4/ 1.4 Flex 8V/16V 5p Aut.,1275
1926,0.41216722241702386,Gol Trend 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/10-11/1190401,Duarte Automóveis,"Rua Dr. Paulo Machado, 383 - Jardim dos Estados - Campo Grande / MS",2010.0,2011.0, MS,"Rua Dr. Paulo Machado, 383 ", Jardim dos Estados , Campo Grande ,vw-volkswagen,17/06/2022,5684,VW - VolksWagen,59,Gol 1.0 Trend/ Power 8V 4p,2388
1928,0.36437679898252695,Sandero Expression 1.0 16v,Prata,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-0-16v/11-11/1192427,Eudes Aparecido Caetano Moura,Dourados - MS,2011.0,2011.0,,Dourados , MS,,renault,17/06/2022,4952,Renault,48,SANDERO Expression Hi-Flex 1.0 16V 5p,4506
1930,-0.023628790457722468,Ka 1.0,Preta,Flex,,,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-12/1170553,Auto 1000 Multimarcas,"Av. Bandeirantes, 2253 - Taquarussu - Campo Grande / MS",2012.0,2012.0, MS,"Av. Bandeirantes, 2253 ", Taquarussu , Campo Grande ,ford,17/06/2022,1811,Ford,22,Ka 1.0i 3p,813
2133,0.3781089759109699,Agile LT 1.4,Bege,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/agile-lt-1-4/10-11/1179039,Nelson Fernandes de Moura,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,gm-chevrolet,17/06/2022,2019,GM - Chevrolet,23,AGILE LT 1.4 MPFI 8V FlexPower 5p,5069
2134,-0.07595874906650682,Modelo,Cor, Combustível,,,Link,Vendedor,Cidade,,,,Cidade,,,,17/06/2022,5700,VW - VolksWagen,59,Gol 1000 (modelo antigo),2399
